               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.038689,            0.095342,           0.0016693,             0.97418,             0.97838,             0.99224,             0.77401,            0.030022,            0.060059,          0.00091095,             0.00571,             0.00571,             0.00571
                 132,            0.039167,            0.091854,            0.001699,              0.9522,             0.96976,             0.99096,              0.7272,            0.030944,            0.060244,          0.00088606,            0.005677,            0.005677,            0.005677
                 133,            0.039984,            0.092023,           0.0015934,             0.96096,             0.98507,             0.99238,              0.7827,            0.028294,            0.058477,          0.00085926,            0.005644,            0.005644,            0.005644
                 134,            0.039437,            0.095377,           0.0014833,             0.96607,             0.98301,              0.9921,             0.76797,            0.030296,             0.05957,          0.00084028,            0.005611,            0.005611,            0.005611
                 135,            0.039979,            0.092664,           0.0015042,             0.96628,             0.97416,             0.99178,             0.77277,            0.031497,            0.060723,          0.00082664,            0.005578,            0.005578,            0.005578
                 136,            0.038172,            0.086624,           0.0014503,             0.97385,             0.97835,             0.99301,             0.78578,            0.030406,            0.059521,          0.00084229,            0.005545,            0.005545,            0.005545
                 137,            0.041961,             0.09693,            0.001472,              0.9731,             0.98189,             0.99235,             0.80906,            0.026819,            0.056855,          0.00087776,            0.005512,            0.005512,            0.005512
                 138,            0.041212,            0.096758,           0.0014521,             0.97447,             0.98613,             0.99255,             0.78528,            0.030774,            0.060234,          0.00087471,            0.005479,            0.005479,            0.005479
                 139,            0.039284,            0.092717,           0.0015357,             0.94054,             0.97977,             0.99306,             0.74666,            0.029881,            0.059619,          0.00082941,            0.005446,            0.005446,            0.005446
                 140,            0.038854,            0.094318,           0.0016621,             0.97358,             0.98333,              0.9932,             0.77698,            0.029694,            0.058398,          0.00080366,            0.005413,            0.005413,            0.005413
                 141,            0.038206,            0.089649,           0.0014846,             0.96449,             0.96951,             0.99252,             0.76698,            0.031302,            0.060166,          0.00079765,             0.00538,             0.00538,             0.00538
                 142,            0.039266,            0.092747,            0.002174,             0.97316,             0.97506,             0.99177,              0.7407,            0.028486,            0.059658,          0.00084133,            0.005347,            0.005347,            0.005347
                 143,            0.038228,            0.092993,            0.001551,             0.97552,             0.97517,             0.99223,             0.76646,            0.030586,            0.061699,          0.00080147,            0.005314,            0.005314,            0.005314
                 144,            0.042416,            0.091962,           0.0013354,             0.97671,             0.97835,             0.99306,             0.77905,            0.029396,            0.058701,           0.0007947,            0.005281,            0.005281,            0.005281
                 145,            0.039387,            0.091836,           0.0016429,             0.97802,             0.97955,             0.99278,             0.80407,            0.029235,            0.058135,          0.00081558,            0.005248,            0.005248,            0.005248
                 146,            0.042189,            0.097729,           0.0014734,             0.97581,             0.98052,             0.99271,             0.74925,            0.029785,            0.058076,          0.00084782,            0.005215,            0.005215,            0.005215
                 147,            0.037324,            0.090936,           0.0015035,             0.97672,             0.97787,             0.99273,             0.72824,            0.028121,            0.058164,          0.00080481,            0.005182,            0.005182,            0.005182
                 148,            0.036593,            0.090204,           0.0016415,             0.97469,             0.97403,             0.99145,             0.73622,            0.029545,            0.059268,          0.00076113,            0.005149,            0.005149,            0.005149
                 149,            0.039687,            0.090696,           0.0013369,             0.97286,             0.97613,             0.99198,             0.75063,            0.030657,            0.061309,          0.00075359,            0.005116,            0.005116,            0.005116
                 150,            0.039333,            0.090323,           0.0015076,             0.97749,             0.96753,             0.99226,             0.79091,            0.029861,            0.059902,          0.00077772,            0.005083,            0.005083,            0.005083
                 151,            0.039207,            0.098961,           0.0017878,             0.97351,             0.98287,             0.99258,             0.79103,            0.027734,            0.058105,          0.00076742,             0.00505,             0.00505,             0.00505
                 152,            0.038644,             0.09302,           0.0013624,             0.98203,             0.97403,              0.9928,             0.77117,            0.029244,             0.05873,          0.00074253,            0.005017,            0.005017,            0.005017
                 153,            0.038128,            0.089671,           0.0013902,             0.97992,             0.96899,             0.99231,             0.75992,            0.029964,            0.060439,          0.00073299,            0.004984,            0.004984,            0.004984
                 154,            0.038987,            0.094172,           0.0016437,             0.98017,             0.97403,             0.99326,              0.8082,             0.02772,            0.057676,          0.00072784,            0.004951,            0.004951,            0.004951
                 155,            0.038337,            0.089579,           0.0017179,             0.97667,             0.97619,             0.99332,             0.80946,            0.027789,             0.05666,          0.00073643,            0.004918,            0.004918,            0.004918
                 156,            0.037748,            0.094243,            0.001532,             0.97738,             0.98268,             0.99367,             0.81554,            0.027516,            0.057695,          0.00073099,            0.004885,            0.004885,            0.004885
                 157,            0.039422,            0.096943,           0.0016946,             0.97649,             0.97548,             0.99293,             0.79429,            0.031519,            0.059727,          0.00070839,            0.004852,            0.004852,            0.004852
                 158,            0.039916,            0.098647,           0.0016634,             0.97772,               0.975,             0.99286,             0.80887,            0.028886,             0.05791,          0.00072842,            0.004819,            0.004819,            0.004819
